CDT	ID	PT	WT	TID
1:15	4	1:4	0:9	2
1:16	6	1:6	0:7	2
1:19	3	1:3	0:10	2
2:1	7	1:9	0:14	2
2:2	11	1:14	0:9	2
2:3	13	1:17	0:6	2
2:15	22	2:5	0:7	2
2:16	21	2:4	0:10	0
2:18	5	1:5	1:9	1
2:18	18	2:1	0:13	0
2:19	8	1:10	1:4	1
2:19	19	2:2	0:12	0
2:20	15	1:20	0:16	2
2:21	9	1:12	1:2	0
2:23	2	1:2	1:12	1
3:0	1	1:1	1:11	2
3:0	16	1:21	0:17	0
3:3	10	1:13	1:1	1
3:10	12	1:16	0:22	1
3:11	32	2:17	0:17	0
3:12	24	2:7	1:4	2
3:12	28	2:12	0:22	0
3:13	23	2:6	1:4	0
3:14	27	2:11	1:0	2
3:16	25	2:8	1:3	2
3:20	30	2:14	1:4	1
3:23	14	1:19	1:15	0
4:1	31	2:16	0:18	0
4:20	17	1:22	2:16	1
5:0	26	2:9	2:5	1
5:5	20	2:3	2:11	1
5:8	29	2:13	2:1	1
-------------------------------------------
-------------------------------------------
Cargos: 32[N: 8,S: 9,V: 15]
Cargo Avg Wait = 1:0
Auto-promoted Cargos: 11%
Trucks: 3[N: 1,S: 1,V: 1]
Avg Active time = 47%
Avg utilization = 38%
